step,actual_error,pred_error,intr_reward,is_noisy
0,0.17460997402668,-0.025413479655981064,1.0,False
1,0.1746898889541626,0.0023872535675764084,1.0,False
2,0.17482773959636688,-0.01885099895298481,1.0,False
3,0.1747175008058548,-0.03773696348071098,1.0,False
4,0.17472267150878906,-0.033229246735572815,1.0,False
5,0.17464399337768555,-0.05034186691045761,1.0,False
6,0.17483872175216675,-0.022833526134490967,1.0,False
7,0.1746564358472824,-0.04825149476528168,1.0,False
8,0.17447121441364288,-0.03125398978590965,1.0,False
9,0.17460472881793976,-0.03071499615907669,1.0,False
10,0.17466527223587036,-0.02690291218459606,1.0,False
11,0.17446474730968475,-0.04519614577293396,1.0,False
12,0.17454546689987183,-0.052783235907554626,1.0,False
13,0.17446811497211456,-0.05108741670846939,1.0,False
14,0.17461399734020233,-0.04341451823711395,1.0,False
15,0.17452026903629303,-0.03209388256072998,1.0,False
16,0.1746005266904831,-0.04019959643483162,1.0,False
17,0.17465703189373016,-0.02499166689813137,1.0,False
18,0.17447471618652344,-0.01961692050099373,1.0,False
19,0.17462299764156342,-0.03248029947280884,1.0,False
20,0.17448532581329346,-0.015871061012148857,1.0,False
21,0.17464923858642578,-0.04364549368619919,1.0,False
22,0.17448659241199493,-0.033097296953201294,1.0,False
23,0.17447178065776825,-0.036718692630529404,1.0,False
24,0.17444641888141632,-0.02604239247739315,1.0,False
25,0.17469042539596558,-0.044667601585388184,1.0,False
26,0.1747792512178421,-0.029607167467474937,1.0,False
27,0.17478372156620026,-0.02764524333178997,1.0,False
28,0.17461252212524414,-0.025265466421842575,1.0,False
29,0.17473888397216797,-0.025648176670074463,1.0,False
30,0.1746102124452591,-0.02293325401842594,1.0,False
31,0.1745421141386032,-0.01844746805727482,1.0,False
32,0.17548613250255585,-0.0448579415678978,1.0,False
33,0.17549479007720947,-0.0314481258392334,1.0,False
34,0.17547553777694702,-0.03883354365825653,1.0,False
35,0.17550162971019745,-0.038771532475948334,1.0,False
36,0.17548401653766632,-0.03408051282167435,1.0,False
37,0.17549006640911102,0.003927173092961311,1.0,False
38,0.17549479007720947,-0.012435941025614738,1.0,False
39,0.17547769844532013,-0.04125966504216194,1.0,False
40,0.17549985647201538,-0.04923330247402191,1.0,False
41,0.17548556625843048,-0.054268866777420044,1.0,False
42,0.17548763751983643,-0.03290937840938568,1.0,False
43,0.17521317303180695,-0.03648942708969116,1.0,False
44,0.17497049272060394,-0.015015415847301483,1.0,False
45,0.17515748739242554,0.0023360643535852432,1.0,False
46,0.17518730461597443,-0.05265716835856438,1.0,False
47,0.17503876984119415,-0.030995506793260574,1.0,False
48,0.17517085373401642,-0.016986854374408722,1.0,False
49,0.17504404485225677,-0.031210916116833687,1.0,False
50,0.17548567056655884,-0.03487566486001015,1.0,False
51,0.1756177395582199,-0.03499888256192207,1.0,False
52,0.17561884224414825,-0.02935759536921978,1.0,False
53,0.17561602592468262,-0.05506101995706558,1.0,False
54,0.17533816397190094,-0.041548725217580795,1.0,False
55,0.1752825528383255,-0.008782878518104553,1.0,False
56,0.175279900431633,-0.021582281216979027,1.0,False
57,0.17478589713573456,-0.011185681447386742,1.0,False
58,0.17464013397693634,-0.02830977737903595,1.0,False
59,0.1746094673871994,-0.042751479893922806,1.0,False
60,0.17473775148391724,-0.05171947926282883,1.0,False
61,0.17466604709625244,-0.04312802106142044,1.0,False
62,0.17463834583759308,-0.02533445507287979,1.0,False
63,0.17447789013385773,-0.033895343542099,1.0,False
64,0.1747715324163437,-0.035978350788354874,1.0,False
65,0.17488175630569458,-0.037250109016895294,1.0,False
66,0.17445255815982819,-0.03424524515867233,1.0,False
67,0.17442011833190918,-0.04291011765599251,1.0,False
68,0.17462633550167084,-0.044757481664419174,1.0,False
69,0.17449921369552612,0.0027979109436273575,1.0,False
70,0.17460989952087402,-0.028908176347613335,1.0,False
71,0.1746627539396286,-0.04014120250940323,1.0,False
72,0.17446334660053253,-0.03096172958612442,1.0,False
73,0.1745566725730896,-0.0336223803460598,1.0,False
74,0.1744796633720398,-0.04137904569506645,1.0,False
75,0.17464584112167358,-0.016882531344890594,1.0,False
76,0.1746664047241211,-0.033544789999723434,1.0,False
77,0.174640953540802,-0.046797238290309906,1.0,False
78,0.1747129112482071,-0.034651979804039,1.0,False
79,0.17478202283382416,-0.0639837384223938,1.0,False
80,0.1716274470090866,-0.07915113866329193,1.0,False
81,0.17175818979740143,-0.0662757009267807,1.0,False
82,0.1716344803571701,-0.05057626590132713,1.0,False
83,0.1716255396604538,-0.07236263900995255,1.0,False
84,0.17175833880901337,-0.09130758792161942,1.0,False
85,0.1718692034482956,-0.08306854963302612,1.0,False
86,0.17188961803913116,-0.05989713594317436,1.0,False
87,0.17187248170375824,-0.0690385103225708,1.0,False
88,0.17187540233135223,-0.061126869171857834,1.0,False
89,0.17188970744609833,-0.07321707904338837,1.0,False
90,0.1718692183494568,-0.09034022688865662,1.0,False
91,0.1717393398284912,-0.04780435934662819,1.0,False
92,0.17185179889202118,-0.07541361451148987,1.0,False
